Név	Intezmeny	Szak	Felev	Hanyadik
Antal Ibolya	Budapesti Corvinus Egyetem	gazdaságmatematikai elemzõ közgazdász	10	1
Antal Ibolya	Budapesti Corvinus Egyetem	kertészmérnöki (BSc)	6	2
Antal Ibolya	Budapesti Corvinus Egyetem	közgazdász-gazdálkodási	10	3
Antal Ibolya	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építészmérnöki	10	4
Antal Ibolya	Budapesti Mûszaki és Gazdaságtudományi Egyetem	közlekedésmérnöki	10	5
Antal Ibolya	Budapesti Mûszaki és Gazdaságtudományi Egyetem	villamosmérnöki (BSc)	7	6
Antal Ibolya	Szegedi Tudományegyetem	informatikatanári-kémia	10	7
Antal Ibolya	Szegedi Tudományegyetem	informatikatanári-orosz	10	8
Antal Ibolya	Szegedi Tudományegyetem	informatikatanári-pedagógia	10	9
Antal Ibolya	Szegedi Tudományegyetem	informatikatanári-technika (fõiskolai)	10	10
Antal Ibolya	Szegedi Tudományegyetem	informatikatanári-testnevelõ tanár (fõiskolai)	10	11
Barbóci Kornél	Budapesti Corvinus Egyetem	gazdaságmatematikai elemzõ közgazdász	10	1
Barbóci Kornél	Budapesti Corvinus Egyetem	kertészmérnöki (BSc)	6	2
Barbóci Kornél	Budapesti Corvinus Egyetem	szociálpolitikus-közgazdász	10	3
Barbóci Kornél	Budapesti Mûszaki és Gazdaságtudományi Egyetem	ipari termék és formatervezõi (BSc)	7	4
Barbóci Kornél	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mérnök informatikus (BSc)	7	5
Barbóci Kornél	Szegedi Tudományegyetem	informatikatanári-kémia	10	6
Barbóci Kornél	Szegedi Tudományegyetem	informatikatanári-magyar	10	7
Barbóci Kornél	Szegedi Tudományegyetem	informatikatanári-református hittanár	10	8
Barbóci Kornél	Szegedi Tudományegyetem	informatikatanári-román nemzetiségi (fõiskolai)	10	9
Barbóci Kornél	Szegedi Tudományegyetem	közgazdasági programozó matematikus	10	10
Barbóci Kornél	Szegedi Tudományegyetem	mûszaki informatikai	10	11
Barbóci Kornél	Szegedi Tudományegyetem	programtervezõ informatikus (BSc)	6	12
Darvas Emília	Budapesti Corvinus Egyetem	közgazdász-gazdálkodási	10	1
Darvas Emília	Budapesti Corvinus Egyetem	szociálpolitikus-közgazdász	10	2
Darvas Emília	Budapesti Corvinus Egyetem	szociológus-közgazdász	10	3
Darvas Emília	Budapesti Mûszaki és Gazdaságtudományi Egyetem	gépészmérnöki (fõiskolai)	6	4
Darvas Emília	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mechatronikai mérnöki (BSc)	7	5
Darvas Emília	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mérnök informatikus (BSc)	7	6
Darvas Emília	Budapesti Mûszaki és Gazdaságtudományi Egyetem	vegyészmérnöki (BSc)	7	7
Darvas Emília	Szegedi Tudományegyetem	gazdaságinformatikus (BSc)	7	8
Darvas Emília	Szegedi Tudományegyetem	informatikatanári-szlovák nemzetiségi (fõiskolai)	10	9
Dobos Hajnalka	Budapesti Corvinus Egyetem	gazdaságinformatikus (BSc)	7	1
Dobos Hajnalka	Budapesti Corvinus Egyetem	kertészmérnöki	10	2
Dobos Hajnalka	Budapesti Corvinus Egyetem	nemzetközi kapcsolatok	10	3
Dobos Hajnalka	Budapesti Corvinus Egyetem	nemzetközi tanulmányok	10	4
Dobos Hajnalka	Budapesti Corvinus Egyetem	szociológus-közgazdász	10	5
Dobos Hajnalka	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építõmérnöki (BSc)	8	6
Dobos Hajnalka	Budapesti Mûszaki és Gazdaságtudományi Egyetem	közgazdász-gazdálkodási	10	7
Dobos Hajnalka	Eötvös Loránd Tudományegyetem	nemzetközi tanulmányok	10	8
Dobos Hajnalka	Szegedi Tudományegyetem	angol-informatikatanári	10	9
Dobos Hajnalka	Szegedi Tudományegyetem	fizika-informatikatanári	10	10
Dobos Hajnalka	Szegedi Tudományegyetem	informatikatanári-pedagógia	10	11
